Название;Адрес;Телефон;Часы работы;Email;Категория
Надэль;Тюмень, Мельникайте, 84;7 (3452) 20-47-37;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Бегемотик;Тюмень, Ленина, 71;7 (3452) 46-76-80, 7 (3452) 46-54-81;пн.- пт. с 10:00 до 19:00;lenina71@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Технополис Плюс;Тюмень, Ямская, 116;7 (3452) 43-28-83;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ТРИКОЛОР ТВ-service;Тюмень, Республики, 42;7 (3452) 70-06-55;пн.- пт. с 10:00 до 19:00;info@agency2.su  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Квант;Тюмень, Герцена, 88;7 (3452) 40-39-90, 7 (3452) 40-40-84;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Макита-Центр;Тюмень, Чекистов, 31/7;7 (3452) 27-47-71;пн.- пт. с 10:00 до 19:00;in-servis@inbox.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Тюменьбыттехника;Тюмень, Ямская, 91а;7 (3452) 43-48-74;пн.- пт. с 10:00 до 19:00;tbt72@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Арсенал+;Тюмень, Новаторов, 3а;8-800-200-34-84, 7 (3452) 79-70-70;пн.- пт. с 10:00 до 19:00;shop@arsplus.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Интерфейс;Тюмень, Холодильная, 71а;7 (3452) 49-47-59, 7 (3452) 74-83-68;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Комбинат бытовых услуг;Тюмень, Вересковая, 15 к2/4;7 (3452) 21-44-20, 7 (3452) 21-49-14, 7 (3452) 21-45-15;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Холодофф;Тюмень, Трактовая, 47;7 (3452) 67-50-40, 7 (3452) 40-50-50, 7 (3452) 78-07-50;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Вент Универсал;Тюмень, Бакинских Комиссаров, 3;7 (3452) 39-99-63;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Принт-сервис;Тюмень, Хохрякова, 47;7 (3452) 50-75-71, 7 (3452) 50-77-35;пн.- пт. с 10:00 до 19:00;printservice2@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
СпецСнабСервис;Тюмень, Чекистов, 30/1;7 (3452) 500-775, 7 (3452) 27-50-18;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
МКТ Тюмень;Тюмень, 50 лет Октября, 80;7 (3452) 41-51-24, 7 (3452) 41-45-44, 7 (3452) 41-45-33;пн.- пт. с 10:00 до 19:00;238477@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Алёнка;Тюмень, Червишевский тракт, 5а;7 (3452) 94-15-98, 7 (3452) 98-78-11;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Ваш Мастер;Тюмень, Широтная, 118 к2;7 (3452) 64-21-90, 7 (3452) 64-25-03;пн.- пт. с 10:00 до 19:00;vasmaster_72@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Группа Стерх;Тюмень, Максима Горького, 3 к2;7 (3452) 500-376;пн.- пт. с 10:00 до 19:00;office@gr-sterh.ru,  service@gr-sterh.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ЗСНС-Компьютерс;Тюмень, Геологоразведчиков проезд, 6в;7 (3452) 50-03-69;пн.- пт. с 10:00 до 19:00;sales@zsns.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Технологии Нового Времени;Тюмень, Дзержинского, 78а;7 (3452) 21-72-69, 7 (3452) 20-29-09;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Торгово-сервисный центр;Тюмень, 50 лет ВЛКСМ, 49 ст3;7 (3452) 52-04-84, 7 (3452) 74-55-46;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
МастерСервис;Тюмень, Республики, 160;7 (3452) 56-20-30, 7 (3452) 56-20-31;пн.- пт. с 10:00 до 19:00;sc@infosc.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Ролсон компьютерс;Тюмень, Республики, 171/2;7 (3452) 41-88-00, 7 (3452) 41-68-52;пн.- пт. с 10:00 до 19:00;info@rolsoncomputers.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Соло-техник;Тюмень, Свердлова, 5;7 (3452) 45-14-80;пн.- пт. с 10:00 до 19:00;torg@solo72.ru,  igor@solo72.ru,  torg@solo-center.ru,  451480@solo72.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Пульсар;Тюмень, Республики, 169;7 (3452) 20-19-05, 7 (3452) 20-82-65;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Холод;Тюмень, Калинина, 92а;7 (3452) 694-733, 7 (3452) 695-233;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Монолит;Тюмень, 30 лет Победы, 113а к2;7 (3452) 69-61-17, 7 (3452) 69-60-44;пн.- пт. с 10:00 до 19:00;monolit@molotok1.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Коротрон;Тюмень, 30 лет Победы, 33;7 (3452) 71-11-44, 7 (3452) 33-27-22;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Технологии климата;Тюмень, Александра Логунова, 11;7 (3452) 695-985, 7 (3452) 695-982, 7 (3452) 695-984, 7 (3452) 695-981, 7 (3452) 695-983;пн.- пт. с 10:00 до 19:00;info@ntcklimat.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Альфа;Тюмень, Республики, 211;7 (3452) 611-502;пн.- пт. с 10:00 до 19:00;alfa72@list.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Быттехсервис;Тюмень, Мельникайте, 116;7 (3452) 610-268;пн.- пт. с 10:00 до 19:00;bts59@list.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Железный Магазин;Тюмень, Герцена, 84/2а;7 (3452) 50-69-70, 7 (3452) 50-67-60;пн.- пт. с 10:00 до 19:00;450849@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ИНЭКС;Тюмень, Широтная, 134;7 (3452) 683-222, 7 (3452) 67-46-17, 7 (3452) 37-84-07;пн.- пт. с 10:00 до 19:00;support@inecscomp.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Компания Компьютер-Сервис;Тюмень, Валерии Гнаровской, 12 к2;7 (3452) 39-33-35;пн.- пт. с 10:00 до 19:00;35company@kks.tyumen.ru,  company@kks.tyumen.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АС;Тюмень, Червишевский тракт, 15/1;7 (3452) 500-569;пн.- пт. с 10:00 до 19:00;dolp.mad@gmail.com,  t430829@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Тахион;Тюмень, Таймырская, 72;7 (3452) 59-30-64, 7 (3452) 59-30-75;пн.- пт. с 10:00 до 19:00;tahionv@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Дефис;Тюмень, 50 лет Октября, 3/4;7 (3452) 56-11-07, 7 (3452) 56-11-08;пн.- пт. с 10:00 до 19:00;defis72@tfbi.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Евросервис;Тюмень, Геологоразведчиков проезд, 33;7 (3452) 20-66-06, 7 (3452) 97-82-52;пн.- пт. с 10:00 до 19:00;ewrote@mail.ru,  ewrote-72@mail.ru,  ewrote72@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Заречная;Тюмень, Щербакова, 98;7 (3452) 49-19-06, 7 (3452) 95-42-25;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Сотовик;Тюмень, Червишевский тракт, 64 к2;7 (3452) 500-626;пн.- пт. с 10:00 до 19:00;sotovik72@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
СИБСК;Тюмень, Мельникайте, 106;7 (3452) 59-33-07, 7 (3452) 59-33-08, 7 (3452) 62-16-68;пн.- пт. с 10:00 до 19:00;info@sib-sk.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АСМ;Тюмень, 50 лет Октября, 82;7 (3452) 500-321;пн.- пт. с 10:00 до 19:00;1@500321.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Многопрофильная компания;Тюмень, Затюменская, 21;7 (3452) 58-91-52, 7 (3452) 96-06-11;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
TV-Сервис;Тюмень, Геологоразведчиков проезд, 35;7 (3452) 20-79-20, 7 (3452) 40-99-04;пн.- пт. с 10:00 до 19:00;tm@reg.ru,  sales@mycompany.ru,  user@example.ru,  you@yourcompany.com,  test@example.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
КБ КИТ;Тюмень, Василия Гольцова, 22;7 (3452) 71-62-62;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Профессиональные Бизнес Системы;Тюмень, Широтная, 188а;7 (3452) 57-88-13, 7 (3452) 38-75-85;пн.- пт. с 10:00 до 19:00;donate@opencart.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Экватор;Тюмень, Республики, 252/6;7 (3452) 58-71-65, 7 (3452) 54-67-57;пн.- пт. с 10:00 до 19:00;ekvator_ng@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Цифра;Тюмень, Республики, 188;7 (3452) 517-004;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
НИКС;Тюмень, Максима Горького, 3;7 (3452) 666-000;пн.- пт. с 10:00 до 19:00;sales@anixx.ru,  info@anixx.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
РемZona;Тюмень, Рижская, 45а;7 (3452) 20-45-94;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АвтоКом;Тюмень, Дамбовская, 10/3;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Сибирь;Тюмень, Первомайская, 6;7 (3452) 92-72-90;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Фаворит;Тюмень, Республики, 256 к2;7 (3452) 70-17-71;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
TN-systems;Тюмень, Мельникайте, 125Б;7 (3452) 79-00-76;пн.- пт. с 10:00 до 19:00;ntn@tnsystems.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Полиграфика;Тюмень, Республики, 53;7 (3452) 390-112;пн.- пт. с 10:00 до 19:00;poligrafika72@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ТюменьЭнергоСвязьСервис;Тюмень, Газовиков, 53 к1;7 (3452) 46-43-17, 7 (3452) 22-37-85, 7 (3452) 51-77-70;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ПРОКСИ-КОМ;Тюмень, 9 Января, 124;7 (3452) 59-19-30;пн.- пт. с 10:00 до 19:00;71@deozal.ru,  support@tiu.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Элит-сервис;Тюмень, Минская, 89а;7 (3452) 20-10-59, 7 (3452) 95-07-17;пн.- пт. с 10:00 до 19:00;elitservice2007@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Мега;Тюмень, Таврическая, 13а;7 (3452) 67-22-44;пн.- пт. с 10:00 до 19:00;mail@itmega.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Знак;Тюмень, Ямская, 104а;7 (3452) 99-70-70, 7 (3452) 70-26-69;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ULTRA;Тюмень, Широтная, 112 к3;7 (3452) 68-43-75, 7 (3452) 68-43-79;пн.- пт. с 10:00 до 19:00;info@ultra72.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
СибКлимат;Тюмень, ;7 (3452) 479-418;пн.- пт. с 10:00 до 19:00;sibklimat@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Айтилия;Тюмень, Трактовая, 47;7 (3452) 666-001;пн.- пт. с 10:00 до 19:00;info@ittmn.ru,  contact@ytcvn.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Кондиционер72;Тюмень, 30 лет Победы, 129;;пн.- пт. с 10:00 до 19:00;kondicioner72@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Мега-Мастер;Тюмень, 50 лет Октября, 118;7 (3452) 91-88-80;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ТехноДоктор;Тюмень, Мельникайте, 66;7 (3452) 517-545;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
25-й кадр;Тюмень, Широтная, 124;7 (3452) 999-552;пн.- пт. с 10:00 до 19:00;novatech2.2@mail.ru,  novatech2.1@mail.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Спецтехника;Тюмень, Республики, 143 к2;7 (3452) 97-01-40, 7 (3452) 36-59-11, 7 (3452) 20-55-97;пн.- пт. с 10:00 до 19:00;spectech72@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Деньги мигом;Тюмень, Республики, 156;7 (3452) 90-09-96, 7 (3452) 90-35-03;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Валео;Тюмень, ;;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Тюменская Сервисная Компания+;Тюмень, Республики, 215а;7 (3452) 603-301;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Schwank;Тюмень, Ветеранов Труда, 60 ст3;7 (3452) 38-88-60, 7 (3452) 38-88-65, 7 (3452) 38-88-66;пн.- пт. с 10:00 до 19:00;sibschwank@sibschwank.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Эмвико;Тюмень, Герцена, 103;7 (3452) 50-68-06, 7 (3452) 91-96-60;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Космос;Тюмень, Авторемонтная, 1 ст2;7 (3452) 93-01-23, 7 (3452) 69-69-79;пн.- пт. с 10:00 до 19:00;mail@kosmos72.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ВелесТ;Тюмень, Николая Чаплина, 115;7 (3452) 94-49-85;пн.- пт. с 10:00 до 19:00;fng@velest72.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Политек;Тюмень, Мельникайте, 95а;7 (3452) 68-17-68;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Nix;Тюмень, Малыгина, 8;7 (3452) 34-23-69;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Альфа и К;Тюмень, 50 лет Октября, 74 к2;7 (3452) 48-48-15, 7 (3452) 51-74-75, 7 (3452) 51-75-74;пн.- пт. с 10:00 до 19:00;alfa517475@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Ваш Дом;Тюмень, Ватутина, 55;7 (3452) 99-49-09, 7 (3452) 47-35-69;пн.- пт. с 10:00 до 19:00;dom-remonta-72@yandex.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Корунд;Тюмень, Холодильная, 65/3;7 (3452) 49-47-80;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ДомКлимат;Тюмень, 50 лет Октября, 62а к2;7 (3452) 41-71-58, 7 (3452) 41-53-13;пн.- пт. с 10:00 до 19:00;german@pt-tmn.ru,  pt@pt-tmn.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
TQS;Тюмень, Мельникайте, 55;7 (3452) 52-98-39;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
АКСИОН;Тюмень, Комсомольская, 58;7 (3452) 905-027, 7 (3452) 901-503;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Техно Лидер;Тюмень, Осипенко, 81/4;7 (3452) 73-77-23, 7 (3452) 97-67-87, 7 (3452) 59-52-07;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Копир-Сервис;Тюмень, 30 лет Победы, 27/1;7 (3452) 677-909;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Техно-Сервис;Тюмень, Станкостроителей, 1;7 (3452) 50-23-73, 7 (3452) 50-22-13;пн.- пт. с 10:00 до 19:00;techno-service72@list.ru  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
GSM-master;Тюмень, Майский проезд, 1 к2;7 (3452) 735-999;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Ремтел;Тюмень, Мельникайте, 90а;7 (3452) 500-454, 7 (3452) 700-676, 7 (3452) 700-454;пн.- пт. с 10:00 до 19:00;remtel72@gmail.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Аякс-Климат;Тюмень, 50 лет Октября, 62а к2;7 (3452) 48-48-08;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
ИнтерКом;Тюмень, Максима Горького, 90;7 (3452) 68-49-00, 7 (3452) 68-54-22;пн.- пт. с 10:00 до 19:00;info@intercom72.ru,  donate@opencart.com  ;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
Система;Тюмень, Республики, 169 к1;7 (3452) 40-97-97;пн.- пт. с 10:00 до 19:00;;Ремонт ноутбуков, Ремонт компьютеров, Ремонт стиральных машин
